Symbol,Leg Symbol,Product,Futures Root,Expire Date,Leg Ratio,Leg Side,Description,Complex,Tick Size,Contract Size,Test Symbol
0002ku,0002fg,VX/M9,VX,6/19/2019,1,S,VX Monthly Jun 2019,FALSE,nickel,1000,FALSE
0002ku,0002V7,VX/N9,VX,7/17/2019,1,B,VX Monthly Jul 2019,FALSE,nickel,1000,FALSE
0002l1,,VXT/M9:1:S - VXT/N9:1:B,VXT,6/19/2019,,,VXT COMPLEX 2 LEGS,TRUE,cmplxpenny,1000,FALSE
0002l1,0002fu,VXT/M9,VXT,6/19/2019,1,S,VXT Monthly Jun 2019,FALSE,tas_penny,1000,FALSE
0002l1,0002VL,VXT/N9,VXT,7/17/2019,1,B,VXT Monthly Jul 2019,FALSE,tas_penny,1000,FALSE
0002l2,,VXT/K9:1:S - VXT/N9:1:B,VXT,5/22/2019,,,VXT COMPLEX 2 LEGS,TRUE,cmplxpenny,1000,FALSE
0002l2,0002aj,VXT/K9,VXT,5/22/2019,1,S,VXT Monthly May 2019,FALSE,tas_penny,1000,FALSE
0002l2,0002VL,VXT/N9,VXT,7/17/2019,1,B,VXT Monthly Jul 2019,FALSE,tas_penny,1000,FALSE
0002my,,ZVX/K9:1:S - ZVX/N9:1:B,ZVX,5/22/2019,,,ZVX COMPLEX 2 LEGS,TRUE,cmplxpenny,1000,TRUE
0002my,0002mr,ZVX/N9,ZVX,7/17/2019,1,B,ZVX Monthly Jul 2019,FALSE,nickel,1000,TRUE
0002my,0002ct,ZVX/K9,ZVX,5/22/2019,1,S,ZVX Monthly May 2019,FALSE,nickel,1000,TRUE
0002mz,,ZVX/M9:1:S - ZVX/N9:1:B,ZVX,6/19/2019,,,ZVX COMPLEX 2 LEGS,TRUE,cmplxpenny,1000,TRUE
0002mz,0002mr,ZVX/N9,ZVX,7/17/2019,1,B,ZVX Monthly Jul 2019,FALSE,nickel,1000,TRUE
0002mz,0002ho,ZVX/M9,ZVX,6/19/2019,1,S,ZVX Monthly Jun 2019,FALSE,nickel,1000,TRUE
0002n6,,ZVXT/M9:1:S - ZVXT/N9:1:B,ZVXT,6/19/2019,,,ZVXT COMPLEX 2 LEGS,TRUE,cmplxpenny,1000,TRUE
