Cboe data is compiled for the convenience of site visitors and is furnished without responsibility for accuracy and is accepted by the site visitor on the condition that transmission or omissions shall not be made the basis for any claim demand or cause for action. Your use of Cboe data is subject to the Terms and Conditions for use of Cboe Websites.,,,
Date,Close,,
10/23/2015,108.14,,
10/26/2015,108.17,,
10/27/2015,108.22,,
10/28/2015,108.83,,
10/29/2015,108.73,,
10/30/2015,108.3,,
11/2/2015,110.36,,
11/3/2015,110.66,,
11/4/2015,110.53,,
11/5/2015,110.14,,
11/6/2015,109.68,,
11/9/2015,108.53,,
11/10/2015,108.75,,
11/11/2015,108.56,,
11/12/2015,107.35,,
11/13/2015,106.93,,
11/16/2015,108.65,,
11/17/2015,108.8,,
11/18/2015,110.17,,
11/19/2015,110.23,,
11/20/2015,111.23,,
11/23/2015,111.07,,
11/24/2015,110.82,,
11/25/2015,110.99,,
11/27/2015,111.55,,
11/30/2015,111.23,,
12/1/2015,112.44,,
12/2/2015,111.14,,
12/3/2015,109.71,,
12/4/2015,111.55,,
12/7/2015,110.29,,
12/8/2015,109.3,,
12/9/2015,108.45,,
12/10/2015,108.89,,
12/11/2015,107.07,,
12/14/2015,107.02,,
12/15/2015,108.2,,
12/16/2015,109.59,,
12/17/2015,107.91,,
12/18/2015,106.5,,
12/21/2015,107.16,,
12/22/2015,108.06,,
12/23/2015,109.68,,
12/24/2015,109.37,,
12/28/2015,108.73,,
12/29/2015,109.58,,
12/30/2015,108.45,,
12/31/2015,107.35,,
1/4/2016,105.31,,
1/5/2016,105.51,,
1/6/2016,103.84,,
1/7/2016,101.51,,
1/8/2016,100.96,,
1/11/2016,101.37,,
1/12/2016,102.14,,
1/13/2016,100,,
1/14/2016,101.37,,
1/15/2016,99.87,,
1/19/2016,100.43,,
1/20/2016,99.24,,
1/21/2016,99.48,,
1/22/2016,102.1,,
1/25/2016,99.83,,
1/26/2016,101.62,,
1/27/2016,100.65,,
1/28/2016,102.21,,
1/29/2016,105.24,,
2/1/2016,105.2,,
2/2/2016,102.96,,
2/3/2016,103.1,,
2/4/2016,102.67,,
2/5/2016,101.47,,
2/8/2016,100.1,,
2/9/2016,100.26,,
2/10/2016,99.72,,
2/11/2016,98.54,,
2/12/2016,100.36,,
2/16/2016,102.04,,
2/17/2016,105.54,,
2/18/2016,104.63,,
2/19/2016,105.21,,
2/22/2016,107.16,,
2/23/2016,105.96,,
2/24/2016,106.64,,
2/25/2016,107.53,,
2/26/2016,107.55,,
2/29/2016,106.72,,
3/1/2016,108.83,,
3/2/2016,108.64,,
3/3/2016,109.12,,
3/4/2016,109.5,,
3/7/2016,109.24,,
3/8/2016,107.6,,
3/9/2016,108.6,,
3/10/2016,108.33,,
3/11/2016,110.75,,
3/14/2016,110.56,,
3/15/2016,109.79,,
3/16/2016,110.47,,
3/17/2016,111.1,,
3/18/2016,111.57,,
3/21/2016,111.58,,
3/22/2016,111.28,,
3/23/2016,110.02,,
3/24/2016,110.05,,
3/28/2016,109.87,,
3/29/2016,110.99,,
3/30/2016,111.51,,
3/31/2016,111.28,,
4/1/2016,112.38,,
4/4/2016,111.94,,
4/5/2016,110.95,,
4/6/2016,111.76,,
4/7/2016,110.63,,
4/8/2016,110.81,,
