"Cboe Volatility Index (VX) Futures, Includes TAS",,,,,,
VX+VXT17/J9 - 2019-04-24,CONTRACT PRICES (US$),Settle,Settle - Var,Change,Change_1,Column7
VA/K9 - 2019-05-17,CONTRACT PRICES (US$),12.275,736.9346,0.850,0.850,
VA/K9 - 2019-05-17,CONTRACT VOLUME,Total,BLOCK,ECRP,Open Interest,
VA/K9 - 2019-05-17,CONTRACT VOLUME,0,0,0,0,0
VA/M9 - 2019-06-21,CONTRACT PRICES (US$),Open,High,Low,Close,
VA/M9 - 2019-06-21,CONTRACT PRICES (US$),0.00,b13.40,13.60a,0.00,
VA/M9 - 2019-06-21,CONTRACT PRICES (US$),Settle,Settle - Var,Change,Change,
VA/M9 - 2019-06-21,CONTRACT PRICES (US$),13.75,900.4207,0.55,0.55,
VA/M9 - 2019-06-21,CONTRACT VOLUME,Total,BLOCK,ECRP,Open Interest,
VA/M9 - 2019-06-21,CONTRACT VOLUME,0,0,0,0,0
VA/N9 - 2019-07-19,CONTRACT PRICES (US$),Open,High,Low,Close,
VA/N9 - 2019-07-19,CONTRACT PRICES (US$),0.00,b14.30,14.60a,0.00,
VA/N9 - 2019-07-19,CONTRACT PRICES (US$),Settle,Settle - Var,Change,Change,
VA/N9 - 2019-07-19,CONTRACT PRICES (US$),14.65,864.4681,0.475,0.475,
VA/N9 - 2019-07-19,CONTRACT VOLUME,Total,BLOCK,ECRP,Open Interest,
VA/N9 - 2019-07-19,CONTRACT VOLUME,0,0,0,0,0
VA/Q9 - 2019-08-16,CONTRACT PRICES (US$),Open,High,Low,Close,
VA/Q9 - 2019-08-16,CONTRACT PRICES (US$),0.00,b14.95,15.35a,0.00,
VA/Q9 - 2019-08-16,CONTRACT PRICES (US$),Settle,Settle - Var,Change,Change,
VA/Q9 - 2019-08-16,CONTRACT PRICES (US$),15.325,879.4624,0.400,0.400,
VA/Q9 - 2019-08-16,CONTRACT VOLUME,Total,BLOCK,ECRP,Open Interest,
VA/Q9 - 2019-08-16,CONTRACT VOLUME,0,0,0,0,0
VA/U9 - 2019-09-20,CONTRACT PRICES (US$),Open,High,Low,Close,
VA/U9 - 2019-09-20,CONTRACT PRICES (US$),0.00,b15.55,16.00a,0.00,
VA/U9 - 2019-09-20,CONTRACT PRICES (US$),Settle,Settle - Var,Change,Change,
VA/U9 - 2019-09-20,CONTRACT PRICES (US$),15.90,927.2301,0.325,0.325,
VA/U9 - 2019-09-20,CONTRACT VOLUME,Total,BLOCK,ECRP,Open Interest,
VA/U9 - 2019-09-20,CONTRACT VOLUME,0,0,0,0,0
VA/V9 - 2019-10-18,CONTRACT PRICES (US$),Open,High,Low,Close,
VA/V9 - 2019-10-18,CONTRACT PRICES (US$),0.00,b15.85,16.35a,0.00,
VA/V9 - 2019-10-18,CONTRACT PRICES (US$),Settle,Settle - Var,Change,Change,
VA/V9 - 2019-10-18,CONTRACT PRICES (US$),16.175,992.5824,0.275,0.275,
VA/V9 - 2019-10-18,CONTRACT VOLUME,Total,BLOCK,ECRP,Open Interest,
VA/V9 - 2019-10-18,CONTRACT VOLUME,0,0,0,0,0
VA/Z9 - 2019-12-20,CONTRACT PRICES (US$),Open,High,Low,Close,
VA/Z9 - 2019-12-20,CONTRACT PRICES (US$),0.00,b16.35,16.90a,0.00,
VA/Z9 - 2019-12-20,CONTRACT PRICES (US$),Settle,Settle - Var,Change,Change,
VA/Z9 - 2019-12-20,CONTRACT PRICES (US$),16.675,698.4965,0.200,0.200,
VA/Z9 - 2019-12-20,CONTRACT VOLUME,Total,BLOCK,ECRP,Open Interest,
VA/Z9 - 2019-12-20,CONTRACT VOLUME,0,0,0,0,0
VA/H0 - 2020-03-20,CONTRACT PRICES (US$),Open,High,Low,Close,
VA/H0 - 2020-03-20,CONTRACT PRICES (US$),0.00,b16.90,17.35a,0.00,
VA/H0 - 2020-03-20,CONTRACT PRICES (US$),Settle,Settle - Var,Change,Change,
VA/H0 - 2020-03-20,CONTRACT PRICES (US$),17.125,806.4577,0.225,0.225,
VA/H0 - 2020-03-20,CONTRACT VOLUME,Total,BLOCK,ECRP,Open Interest,
VA/H0 - 2020-03-20,CONTRACT VOLUME,0,0,0,0,0
VA/M0 - 2020-06-19,CONTRACT PRICES (US$),Open,High,Low,Close,
VA/M0 - 2020-06-19,CONTRACT PRICES (US$),0.00,b17.40,17.90a,0.00,
