Symbol,Product,Futures Root,Expire Date,Description,Tick Size,Contract Size,Test Symbol
0003Fb,ZVXT19/K9,ZVXT,5/8/2019,"ZVXT Weekly May 8, 2019",tas_penny,1000,TRUE
0003Ft,ZIBHY/N9,ZIBHY,7/1/2019,ZIBHY Monthly Jul 2019,penny,1000,TRUE
0003Fx,ZIBHYT/N9,ZIBHYT,7/1/2019,ZIBHYT Monthly Jul 2019,tas_h_peny,1000,TRUE
0003G1,ZIBIG/N9,ZIBIG,7/1/2019,ZIBIG Monthly Jul 2019,penny,1000,TRUE
0003G5,ZIBIGT/N9,ZIBIGT,7/1/2019,ZIBIGT Monthly Jul 2019,tas_h_peny,1000,TRUE
0003G9,ZVXTY/N9,ZVXTY,7/24/2019,ZVXTY Monthly Jul 2019,penny,1000,TRUE
0003GN,VX20/K9,VX,5/15/2019,"VX Weekly May 15, 2019",nickel,1000,FALSE
0003Gb,VXT20/K9,VXT,5/15/2019,"VXT Weekly May 15, 2019",tas_penny,1000,FALSE
0003Gp,VX22/K9,VX,5/29/2019,"VX Weekly May 29, 2019",nickel,1000,FALSE
0003H3,VXT22/K9,VXT,5/29/2019,"VXT Weekly May 29, 2019",tas_penny,1000,FALSE
0003HH,VX/F0,VX,1/22/2020,VX Monthly Jan 2020,nickel,1000,FALSE
0003HV,VXT/F0,VXT,1/22/2020,VXT Monthly Jan 2020,tas_penny,1000,FALSE
0003Hj,VX23/M9,VX,6/5/2019,"VX Weekly Jun 5, 2019",nickel,1000,FALSE
0003Hx,VXT23/M9,VXT,6/5/2019,"VXT Weekly Jun 5, 2019",tas_penny,1000,FALSE
0003IF,VA/V9,VA,10/18/2019,S&P 500 Variance Monthly Oct 2019,nickel,1,FALSE
0003IQ,VAO/V9,VAO,10/18/2019,S&P 500 Variance Stub Monthly Oct 2019,nickel,1,FALSE
0003IR,IBHY/Q9,IBHY,8/1/2019,IBHY Monthly Aug 2019,penny,1000,FALSE
0003IV,IBHYT/Q9,IBHYT,8/1/2019,IBHYT Monthly Aug 2019,tas_h_peny,1000,FALSE
0003IZ,IBIG/Q9,IBIG,8/1/2019,IBIG Monthly Aug 2019,penny,1000,FALSE
0003Id,IBIGT/Q9,IBIGT,8/1/2019,IBIGT Monthly Aug 2019,tas_h_peny,1000,FALSE
0003Ih,ZVX20/K9,ZVX,5/15/2019,"ZVX Weekly May 15, 2019",nickel,1000,TRUE
0003Iv,ZVXT20/K9,ZVXT,5/15/2019,"ZVXT Weekly May 15, 2019",tas_penny,1000,TRUE
0003J9,ZVX22/K9,ZVX,5/29/2019,"ZVX Weekly May 29, 2019",nickel,1000,TRUE
0003JN,ZVXT22/K9,ZVXT,5/29/2019,"ZVXT Weekly May 29, 2019",tas_penny,1000,TRUE
0003Jb,ZVX/F0,ZVX,1/22/2020,ZVX Monthly Jan 2020,nickel,1000,TRUE
0003Jp,ZVXT/F0,ZVXT,1/22/2020,ZVXT Monthly Jan 2020,tas_penny,1000,TRUE
0003K3,ZVX23/M9,ZVX,6/5/2019,"ZVX Weekly Jun 5, 2019",nickel,1000,TRUE
0003KH,ZVXT23/M9,ZVXT,6/5/2019,"ZVXT Weekly Jun 5, 2019",tas_penny,1000,TRUE
0003KZ,ZVA/V9,ZVA,10/18/2019,ZVA Monthly Oct 2019,nickel,1,TRUE
0003Kl,ZVAO/V9,ZVAO,10/18/2019,ZVAO Monthly Oct 2019,nickel,1,TRUE
0003Km,ZIBHY/Q9,ZIBHY,8/1/2019,ZIBHY Monthly Aug 2019,penny,1000,TRUE
0003Kq,ZIBHYT/Q9,ZIBHYT,8/1/2019,ZIBHYT Monthly Aug 2019,tas_h_peny,1000,TRUE
0003Ku,ZIBIG/Q9,ZIBIG,8/1/2019,ZIBIG Monthly Aug 2019,penny,1000,TRUE
0003Ky,ZIBIGT/Q9,ZIBIGT,8/1/2019,ZIBIGT Monthly Aug 2019,tas_h_peny,1000,TRUE
